driver,gender,years_exp,bus_unit,d_type,age,n_trip,ping_speed,distance,travel_time,n_crash,fatalities,injuries,sce_CM,sce_HB,sce_HW,sce_RS,sce_N
d09904,M,4.1,Dedicated,REG,56,1960,24.7992806122449,159630.494,284557.794,0,0,0,0,2,8,0,10
d14251,M,10.3,Intermodal,LOC,57,1124,19.0252962633452,90205.7260000001,224832.893,1,0,0,47,9,37,2,95
d25133,M,3.4,Dedicated,LOC,44,214,20.8634719626168,15141.385,43920.067,0,0,0,0,0,0,0,0
d04685,M,1,Dedicated,LOC,38,80,30.7818875,19412.236,31473.166,1,0,0,0,1,0,0,1
d13820,M,7.6,Final-mile,REG,42,26,37.0715384615385,418.026,780.067,0,0,0,0,0,0,0,0
d09818,M,1.5,Dedicated,LOC,25,309,32.6460679611651,56418.836,88625.165,1,0,0,0,18,0,0,18
d16400,M,0.2,Final-mile,REG,57,1063,33.2958090310442,98415.5800000001,150436.966,3,0,0,3,16,2,0,21
d13206,M,1.3,Dedicated,REG,25,211,33.9317298578199,26443.904,41291.54,0,0,0,0,0,0,0,0
d14317,M,4.1,Dedicated,REG,50,1058,42.0996417769376,86788.1250000001,114475.514,5,0,0,1,2,2,0,5
d23668,M,,Dedicated,LOC,42,1015,39.7504177339902,75529.7059999998,118537.39,2,0,0,3,18,5,0,26
d13371,M,2.1,Dedicated,OTR,59,208,26.5368557692308,23586.69,40453.738,0,0,0,0,0,0,0,0
d23351,M,2.5,Dedicated,REG,38,109,32.759128440367,10732.993,14257.069,0,0,0,0,0,0,0,0
d01663,M,11.9,Dedicated,REG,44,125,34.330088,9584.676,13928.438,0,0,0,0,0,0,0,0
d22987,F,2,Dedicated,REG,46,272,34.9986544117647,37228.511,55816.342,1,0,0,2,4,0,0,6
d01630,M,5.2,Dedicated,REG,35,81,29.2373456790124,6518.028,9141.96300000001,0,0,0,0,0,0,0,0
d11074,M,2.9,Dedicated,LOC,32,321,31.0727320872274,49185.889,74635.21,0,0,0,0,5,0,0,5
d29965,M,0.9,Dedicated,REG,35,50,29.89766,4300.43,7110.733,0,0,0,1,2,0,0,3
d07257,M,3.6,Dedicated,REG,50,23,29.4316086956522,1825.813,3310.1,0,0,0,0,0,0,0,0
d31376,M,7.5,Final-mile,REG,47,28,34.6900357142857,5122.38,7384.467,0,0,0,0,0,0,0,0
d10033,M,3.7,Dedicated,LOC,39,1037,24.2482941176471,82654.6320000001,220987.843,3,0,0,2,3,0,0,5
d06105,M,2.1,Dedicated,LOC,24,1121,28.3011516503122,69440.4179999999,174146.578,3,0,0,3,13,2,0,18
d12526,M,4.8,Dedicated,REG,57,145,29.4856275862069,10361.749,14159.602,0,0,0,0,0,0,0,0
d13829,M,0.4,Dedicated,REG,51,95,40.3339473684211,31748.559,41497.868,0,0,0,0,0,0,0,0
d27129,M,5.7,Dedicated,REG,45,1932,30.5135212215321,148317.808,220639.807,1,0,0,4,7,13,0,24
d09667,M,6,Final-mile,REG,68,93,28.0460107526882,10452.095,17163.304,0,0,0,0,0,0,0,0
d18245,M,0.4,Dedicated,REG,56,973,33.5134152106886,147382.607,211776.535,5,0,0,2,6,1,0,9
d12718,M,0.6,Dedicated,REG,37,125,31.055432,18999.774,31202.399,0,0,0,0,0,0,0,0
d03707,M,2.4,Final-mile,REG,61,152,31.3799407894737,26001.09,37669.867,0,0,0,0,0,0,0,0
d16363,F,0.6,Final-mile,REG,27,98,25.43,8956.12,15976.236,0,0,0,0,0,0,0,0
d19585,M,5,Dedicated,REG,48,729,46.7595651577503,113912.092,145036.846,2,0,0,4,6,277,0,287
d29553,M,0.5,Dedicated,REG,25,42,20.4195238095238,1702.652,4027.866,0,0,0,0,0,0,0,0
d23922,M,2,Dedicated,REG,51,356,43.0623679775281,53766.307,70805.6880000001,0,0,0,0,0,0,0,0
d30915,M,3.8,Intermodal,REG,30,316,31.3689620253165,50193.4079999999,81549.3740000001,0,0,0,0,0,0,1,1
d05236,M,0.6,Dedicated,REG,41,159,39.6011949685535,21178.583,29743.771,0,0,0,0,0,0,0,0
d27709,M,6.2,Dedicated,LOC,44,1002,36.3783303393214,111516.965,188529.101,1,0,0,1,44,77,1,123
d15106,F,10.6,Intermodal,LOC,52,1165,16.3464540772532,87236.6490000001,271568.344,2,0,0,0,16,0,1,17
d10486,M,1.1,Final-mile,REG,56,172,31.6738023255814,26920.533,40880.065,0,0,0,0,0,0,0,0
d00849,M,7.1,Intermodal,LOC,43,1167,22.1327386461011,106361.041,237120.894,0,0,0,7,32,60,1,100
d07582,M,0.6,Intermodal,REG,37,132,16.5086590909091,10414.617,35109.296,0,0,0,0,0,0,0,0
d25268,M,2.1,Final-mile,REG,53,50,30.45924,6351.444,9700.403,0,0,0,0,0,0,0,0
d25385,M,3.3,Intermodal,LOC,56,1181,13.6010677392041,64428.246,253948.281,4,0,0,2,12,1,1,16
d16472,M,1.1,Intermodal,REG,28,31,21.0351935483871,2964.073,6660.099,0,0,0,0,0,0,0,0
d20538,M,2.9,Dedicated,REG,43,577,34.2367764298094,93802.986,147775.132,3,0,0,0,1,2,0,3
d27232,U,40.9,Intermodal,LOC,61,7,16.9415714285714,59.629,308.933,0,0,0,0,0,0,0,0
d24598,M,3.8,Intermodal,LOC,47,1108,19.5468185920578,105835.117,284862.322,2,0,0,1,22,1,2,26
d31753,M,1.1,Final-mile,REG,47,338,35.447201183432,62025.847,86952.965,2,0,0,1,1,0,0,2
d00624,M,0.2,Dedicated,REG,28,47,30.2647872340426,5660.492,9500.538,0,0,0,0,0,0,0,0
d03443,M,0.2,Intermodal,LOC,48,494,22.9680951417004,50469.1200000001,125222.957,2,0,0,0,6,1,0,7
